Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
001-667-593-214-401,Quantum computing for several AGV scheduling models.,2024-05-28,2024,journal article,Scientific reports,20452322,Springer Science and Business Media LLC,United Kingdom,Liang Tang; Chao Yang; Kai Wen; Wei Wu; Yiyun Guo,"Due to the high degree of automation, automated guided vehicles (AGVs) have been widely used in many scenarios for transportation, and traditional computing power is stretched in large-scale AGV scheduling. In recent years, quantum computing has shown incomparable performance advantages in solving specific problems, especially Combinatorial optimization problem. In this paper, quantum computing technology is introduced into the study of the AGV scheduling problem. Additionally two types of quadratic unconstrained binary optimisation (QUBO) models suitable for different scheduling objectives are constructed, and the scheduling scheme is coded into the ground state of Hamiltonian operator, and the problem is solved by using optical coherent Ising machine (CIM). The experimental results show that compared with the traditional calculation method, the optical quantum computer can save 92% computation time on average. It has great application potential.",14,1,12205,,Computer science; Scheduling (production processes); Quantum; Quantum computer; Distributed computing; Parallel computing; Mathematical optimization; Mathematics; Physics; Quantum mechanics,Automated guided vehicles; Coherent Ising machine; Quadratic unconstrained binary optimization; Quantum computing; Scheduling,,,National Natural Science Foundation of China (71871038); Humanities and Social Sciences Project of Education Ministry (18YJC630061); China Postdoctoral Science Foundation (2019M661085),https://www.nature.com/articles/s41598-024-62821-6.pdf https://doi.org/10.1038/s41598-024-62821-6 https://pmc.ncbi.nlm.nih.gov/articles/PMC11133359/pdf/41598_2024_Article_62821.pdf https://www.ncbi.nlm.nih.gov/pmc/articles/11133359,http://dx.doi.org/10.1038/s41598-024-62821-6,38806557,10.1038/s41598-024-62821-6,,PMC11133359,0,001-034-439-342-595; 001-418-444-006-337; 004-825-437-025-449; 006-986-324-140-897; 007-027-139-625-887; 008-460-437-830-903; 010-912-119-213-746; 014-410-479-660-342; 018-716-493-603-552; 020-455-006-983-316; 021-155-097-926-617; 027-321-871-935-408; 052-791-636-393-322; 056-069-006-992-707; 062-352-533-658-840; 065-003-119-450-706; 065-585-360-914-151; 069-051-183-439-175; 074-904-867-341-817; 083-592-659-334-862; 087-795-082-204-355; 090-557-994-629-57X; 093-318-308-064-646; 103-399-811-604-935; 106-888-366-159-162; 118-707-030-466-257; 120-389-697-934-662; 131-796-640-879-145; 135-305-882-622-234; 142-538-597-715-723; 146-708-723-935-757; 161-083-937-506-022; 169-744-697-669-274; 190-806-569-455-046,6,true,"CC BY, CC BY-NC-ND",gold
007-102-162-455-81X,Quantum Computing for Healthcare: A Review,2022-06-13,2022,preprint,,,Institute of Electrical and Electronics Engineers (IEEE),,Raihan Ur Rasool; Hafiz Farooq Ahmad; Wajid Rafique; Adnan Qayyum; Junaid Qadir,"<jats:p>&lt;p&gt;Quantum computing uses fundamentally different ways of information processing compared to traditional computing systems such as the use of qubits (quantum bits) and the quantum properties of subatomic particles such as interference, entanglement and superposition to extend the computational capabilities to hitherto unprecedented levels. Although quantum computing systems promise to provide exponential performance benefits in processing, the field is still in an embryonic phase with active ongoing research and development. The efficacy of quantum computing for important verticals such as healthcare---where quantum computing can enable important breakthroughs such as developing drugs, quick DNA sequencing, processing big healthcare data, and performing other compute-intensive tasks---is not yet fully explored. Keeping in view, this article explores this area and analyzes the potential of quantum computing for healthcare systems. We explore various dimensions within healthcare ecosystem where quantum computing could introduce new possibilities through higher computational speed to perform complex healthcare computations. Implementations of quantum computing in the healthcare scenarios have their own unique set of requirements. And therefore, we not only identify those key elements but also present a taxonomy of existing literature around quantum-based healthcare ecosystem, distinguishing cryptography in classical vs modern era along the way. Finally, we explore current challenges, their causes, and future research directions in implementing quantum computing systems in healthcare. &lt;/p&gt;</jats:p>",,,,,Quantum computer; Computer science; Qubit; Health care; Quantum cryptography; Quantum; Quantum entanglement; Theoretical computer science; Quantum information; Distributed computing; Physics; Quantum mechanics; Economics; Economic growth,,,,,https://www.techrxiv.org/articles/preprint/Quantum_Computing_for_Healthcare_A_Review/17198702/3/files/35778116.pdf https://doi.org/10.36227/techrxiv.17198702.v3,http://dx.doi.org/10.36227/techrxiv.17198702.v3,,10.36227/techrxiv.17198702.v3,,,0,,9,true,cc-by,gold
014-683-811-900-007,Efficient quantum algorithm for solving travelling salesman problem: An IBM quantum experience,2018-05-28,2018,preprint,arXiv: Quantum Physics,,,,Karthik K. Srinivasan; Saipriya Satyajit; Bikash K. Behera; Prasanta K. Panigrahi,"The famous Travelling Salesman Problem (TSP) is an important category of optimization problems that is mostly encountered in various areas of science and engineering. Studying optimization problems motivates to develop advanced techniques more suited to contemporary practical problems. Among those, especially the NP hard problems provide an apt platform to demonstrate supremacy of quantum over classical technologies in terms of resources and time. TSP is one such NP hard problem in combinatorial optimization which takes exponential time order for solving by brute force method. Here we propose a quantum algorithm to solve the travelling salesman problem using phase estimation technique. We approach the problem by encoding the given distances between the cities as phases. We construct unitary operators whose eigenvectors are the computational basis states and eigenvalues are various combinations of these phases. Then we apply phase estimation algorithm to certain eigenstates which give us all the total distances possible for all the routes. After obtaining the distances we can search through this information using the quantum search algorithm for finding the minimum to find the least possible distance as well the route taken. This provides us a quadratic speedup over the classical brute force method for a large number of cities. In this paper, we illustrate an example of the travelling salesman problem by taking four cities and present the results by simulating the codes in the IBM's quantum simulator.",,,,,Mathematical optimization; Quantum algorithm; Optimization problem; Eigenvalues and eigenvectors; Quantum simulator; Brute-force search; Travelling salesman problem; Computer science; Combinatorial optimization; Speedup; Operator (computer programming); Quantum,,,,,https://ui.adsabs.harvard.edu/abs/2018arXiv180510928S/abstract https://arxiv.org/pdf/1805.10928.pdf https://arxiv.org/pdf/1805.10928v1 https://www.arxiv-vanity.com/papers/1805.10928/,https://ui.adsabs.harvard.edu/abs/2018arXiv180510928S/abstract,,,2804934477,,0,,24,true,,unknown
023-034-715-870-991,Building an adiabatic quantum computer simulation in the classroom,2018-05-01,2018,journal article,American Journal of Physics,00029505; 19432909,American Association of Physics Teachers (AAPT),United States,Javier Rodríguez-Laguna; Silvia N. Santalla,"We present a didactic introduction to adiabatic quantum computation (AQC) via the explicit construction of a classical simulator of quantum computers. This constitutes a suitable route to introduce several important concepts for advanced undergraduates in physics: quantum many-body systems, quantum phase transitions, disordered systems, spin-glasses, and computational complexity theory.",86,5,360,367,Adiabatic process; Physics; Computational complexity theory; Adiabatic quantum computation; Theoretical physics; Quantum computer; Quantum phase transition; Quantum,,,,,https://jglobal.jst.go.jp/detail?JGLOBAL_ID=201902286106887462 https://doi.org/10.1119/1.5021360 http://doi.org/10.1119/1.5021360 https://aapt.scitation.org/doi/full/10.1119/1.5021360 https://ui.adsabs.harvard.edu/abs/2018AmJPh..86..360R/abstract https://core.ac.uk/download/288501468.pdf,http://dx.doi.org/10.1119/1.5021360,,10.1119/1.5021360,2799589990,,0,000-087-707-486-978; 000-423-022-535-79X; 005-244-960-703-655; 006-769-869-615-230; 010-979-271-512-130; 016-375-476-947-366; 016-390-671-788-853; 017-717-042-133-211; 019-247-148-237-982; 020-508-235-223-00X; 023-149-233-780-037; 030-391-914-323-172; 035-351-082-433-381; 037-003-171-076-787; 045-147-114-304-15X; 055-163-993-338-833; 061-847-500-012-355; 066-952-137-695-580; 067-317-408-460-948; 070-122-010-350-261; 074-642-974-446-190; 092-634-281-698-881; 096-833-595-183-116; 097-256-669-383-356; 101-760-336-319-466; 105-034-765-589-850; 122-391-547-616-71X; 141-628-767-995-872; 149-747-506-589-57X,4,true,,green
060-580-719-590-209,An investigation of IBM Quantum Computing device performance on Combinatorial Optimisation Problems,2021-07-08,2021,preprint,arXiv (Cornell University),,,,Maxine T. Khumalo; Hazel A. Chieza; Krupa Prag; Matthew Woolway,"The intractability of deterministic solutions in solving $\mathcal{NP}$-Hard Combinatorial Optimisation Problems (COP) is well reported in the literature. One mechanism for overcoming this difficulty has been the use of efficient COP non-deterministic approaches. However, with the advent of quantum technology, these modern devices' potential to overcome this tractability limitation requires exploration. This paper juxtaposes classical and quantum optimisation algorithms' performance to solve two common COP, the Travelling Salesman Problem (TSP) and the Quadratic Assignment Problem (QAP). Two accepted classical optimisation methods, Branch and Bound (BNB) and Simulated Annealing (SA), are compared to two quantum optimisation methods, Variational Quantum Eigensolver (VQE) algorithm and Quantum Approximate Optimisation Algorithm (QAOA). These algorithms are respectively executed on both classical devices and IBM's suite of Noisy Intermediate-Scale Quantum (NISQ) devices. We have encoded the COP problems for the respective technologies and algorithms and provided the computational encodings for the NISQ devices. Our experimental results show that current classical devices significantly outperform the presently available NISQ devices, which agrees and extends with findings in the literature. Further, we introduce additional performance metrics to better compare the two approaches concerning computational time, feasibility and solution quality. Our results show that the VQE performs better than QAOA for these metrics, and we infer that this is due to the increased number of operations required. Additionally, we investigate the impact of a new set of basis gates on the quantum optimisation techniques and show they yield no notable improvement in the results. Finally, we present the shortcomings of state-of-the-art NISQ IBM quantum devices and argue for potential future work and investigation.",,,,,Computer science; Quantum computer; Quantum; Mathematical optimization; Quadratic assignment problem; Quantum algorithm; Quantum annealing; Combinatorial optimization; Set (abstract data type); Algorithm; Theoretical computer science; Mathematics; Physics; Quantum mechanics; Programming language,,,,,https://arxiv.org/abs/2107.03638,http://dx.doi.org/10.48550/arxiv.2107.03638,,10.48550/arxiv.2107.03638,,,0,,0,true,cc-by,green
062-604-428-386-087,Multi-Objective Routing Optimization for 6G Communication Networks Using a Quantum Approximate Optimization Algorithm.,2022-10-06,2022,journal article,"Sensors (Basel, Switzerland)",14248220; 14243210,Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,Helen Urgelles; Pablo Picazo-Martinez; David Garcia-Roger; Jose F Monserrat,"Sixth-generation wireless (6G) technology has been focused on in the wireless research community. Global coverage, massive spectrum usage, complex new applications, and strong security are among the new paradigms introduced by 6G. However, realizing such features may require computation capabilities transcending those of present (classical) computers. Large technology companies are already exploring quantum computers, which could be adopted as potential technological enablers for 6G. This is a promising avenue to explore because quantum computers exploit the properties of quantum states to perform certain computations significantly faster than classical computers. This paper focuses on routing optimization in wireless mesh networks using quantum computers, explicitly applying the quantum approximate optimization algorithm (QAOA). Single-objective and multi-objective examples are presented as robust candidates for the application of quantum machine learning. Moreover, a discussion about quantum supremacy estimation for this problem is provided.",22,19,7570,7570,Computer science; Exploit; Quantum computer; Wireless; Quantum algorithm; Computer engineering; Computation; Quantum; Algorithm; Wireless network; Routing (electronic design automation); Optimization problem; Theoretical computer science; Distributed computing; Computer network; Telecommunications; Computer security; Physics; Quantum mechanics,6G communication networks; multi-objective; quantum computing; quantum optimization algorithms; quantum routing optimization,,,,https://www.mdpi.com/1424-8220/22/19/7570/pdf?version=1665540051 https://doi.org/10.3390/s22197570,http://dx.doi.org/10.3390/s22197570,36236671,10.3390/s22197570,,PMC9570750,3,008-468-343-915-662; 010-912-119-213-746; 013-255-464-502-866; 014-555-038-450-97X; 029-803-646-760-538; 031-922-391-646-875; 058-269-266-174-638; 073-207-735-251-692; 086-112-579-208-616; 093-211-598-564-234; 130-404-351-610-025; 136-704-116-685-249; 172-544-962-041-317; 173-096-993-103-859,22,true,cc-by,gold
064-683-201-720-82X,qRobot: A Quantum Computing Approach in Mobile Robot Order Picking and Batching Problem Solver Optimization,2021-06-26,2021,journal article,Algorithms,19994893,MDPI AG,Switzerland,Parfait Atchade-Adelomou; Guillermo Alonso-Linaje; Jordi Albo-Canals; Daniel Casado-Fauli,"This article aims to bring quantum computing to robotics. A quantum algorithm is developed to minimize the distance traveled in warehouses and distribution centers where order picking is applied. For this, a proof of concept is proposed through a Raspberry Pi 4, generating a quantum combinatorial optimization algorithm that saves the distance travelled and the batch of orders to be made. In case of computational need, the robot will be able to parallelize part of the operations in hybrid computing (quantum + classical), accessing CPUs and QPUs distributed in a public or private cloud. We developed a stable environment (ARM64) inside the robot (Raspberry) to run gradient operations and other quantum algorithms on IBMQ, Amazon Braket (D-Wave), and Pennylane locally or remotely. The proof of concept, when run in the above stated quantum environments, showed the execution time of our algorithm with different public access simulators on the market, computational results of our picking and batching algorithm, and analyze the quantum real-time execution. Our findings are that the behavior of the Amazon Braket D-Wave is better than Gate-based Quantum Computing over 20 qubits, and that AWS-Braket has better time performance than Qiskit or Pennylane.",14,7,194,,Computer engineering; Proof of concept; Quantum algorithm; Mobile robot; Qubit; Order picking; Computer science; Combinatorial optimization; Quantum computer; Cloud computing,Atchade-Adelomou  P.; Alonso-Linaje  G.; Albo-Canals  J.; Casado-Fauli  D. qRobot: A Quantum quantum computing; machine learning; picking problem; batching problem; quantum robotics; Raspberry PI4; docplex,,,,https://www.mdpi.com/1999-4893/14/7/194/pdf https://dblp.uni-trier.de/db/journals/algorithms/algorithms14.html#Atchade-Adelomou21 https://www.mdpi.com/1999-4893/14/7/194,http://dx.doi.org/10.3390/a14070194,,10.3390/a14070194,3175007952,,1,001-575-536-461-82X; 002-270-633-398-307; 003-642-580-174-780; 006-111-138-141-755; 006-310-719-682-99X; 008-468-343-915-662; 009-833-988-848-187; 011-262-705-383-70X; 015-318-785-330-119; 017-711-629-571-379; 018-592-028-261-508; 020-248-346-465-513; 021-023-291-493-937; 021-269-411-275-935; 022-974-742-539-552; 024-519-224-797-656; 025-575-354-684-169; 027-487-446-697-250; 029-753-984-039-433; 029-803-646-760-538; 030-589-504-330-533; 031-487-113-531-708; 031-909-553-637-650; 033-687-825-153-601; 034-139-893-566-087; 034-352-687-392-947; 035-130-733-070-213; 035-426-024-076-797; 035-451-887-589-808; 036-086-750-951-005; 039-015-665-176-682; 039-519-095-640-381; 040-708-585-836-043; 040-901-168-059-583; 042-134-300-645-458; 043-461-753-343-465; 044-694-016-655-737; 047-327-162-609-071; 047-889-168-079-31X; 051-704-298-950-979; 053-122-158-277-279; 053-535-156-251-118; 056-501-429-155-951; 057-463-777-517-017; 059-924-209-028-25X; 060-774-947-427-660; 065-347-063-661-502; 066-609-071-663-405; 069-484-636-150-790; 070-800-253-737-727; 076-725-713-918-467; 078-347-508-464-299; 079-502-213-416-621; 080-071-374-926-01X; 081-084-384-266-093; 082-061-342-257-695; 086-112-579-208-616; 086-578-237-945-514; 090-544-311-263-685; 091-559-527-669-99X; 118-908-073-419-232; 120-389-697-934-662; 122-666-175-857-095; 128-347-303-220-137; 133-877-366-138-607; 134-097-905-167-212; 136-449-772-917-954; 137-565-729-301-761; 141-628-767-995-872; 143-860-841-741-635; 150-779-633-311-732; 179-386-420-045-413; 197-457-408-519-186,33,true,cc-by,gold
064-862-995-347-628,Solving the traveling salesman problem via different quantum computing architectures,2025-11-07,2025,journal article,International Journal of Quantum Information,02197499; 17936918,World Scientific Pub Co Pte Ltd,Singapore,Venkat Aneesh Padmasola; Zhaotong Li; Rupak Chatterjee; Wesley Dyk,"<jats:p>In this paper, we study the application of emerging photonic and quantum computing architectures to solving the Traveling Salesman Problem (TSP), a well-known NP-hard optimization problem. We investigate several approaches: Simulated Annealing (SA), Quadratic Unconstrained Binary Optimization (QUBO-Ising) methods implemented on quantum annealers and Optical Coherent Ising Machines, as well as the Quantum Approximate Optimization Algorithm (QAOA) and the Quantum Phase Estimation (QPE) algorithm on gate-based quantum computers. QAOA and QPE were tested on the IBM Quantum platform. The QUBO-Ising method was explored using the D-wave quantum annealer, which operates on superconducting Josephson junctions, and the Quantum Computing Inc (QCi) Dirac-1 entropy quantum optimization machine. Gate-based quantum computers demonstrated accurate results for small TSP instances in simulation. However, real quantum devices are hindered by noise and limited scalability. Circuit complexity grows with problem size, restricting performance to TSP instances with a maximum of six nodes. In contrast, Ising-based architectures show improved scalability for larger problem sizes. SQUID-based Ising machines can handle TSP instances with up to 12 nodes, while entropy computing implemented in hybrid optoelectronic components extend this capability to 18 nodes. Nevertheless, the solutions tend to be suboptimal due to hardware limitations and challenges in achieving ground state convergence as the problem size increases. Despite these limitations, Ising machines demonstrate significant time advantages over classical methods, making them a promising candidate for solving larger-scale TSPs efficiently.</jats:p>",,,,,,,,,ACC-New Jersey,,http://dx.doi.org/10.1142/s0219749925400039,,10.1142/s0219749925400039,,,0,,3,false,,
072-469-350-744-57X,A Parallel DNA Algorithm for Solving the Quota Traveling Salesman Problem Based on Biocomputing Model.,2022-08-31,2022,journal article,Computational intelligence and neuroscience,16875273; 16875265,Wiley,Egypt,Zhaocai Wang; Xian Wu; Tunhua Wu,"The quota traveling salesman problem (QTSP) is a variant of the traveling salesman problem (TSP), which is a classical optimization problem. In the QTSP, the salesman visits some of the <i>n</i> cities to meet a given sales quota <i>Q</i> while having minimized travel costs. In this paper, we develop a DNA algorithm based on Adleman-Lipton model to solve the quota traveling salesman problem. Its time complexity is <i>O</i>(<i>n</i> <sup>2</sup>+<i>Q</i>), which is a significant improvement over previous algorithms with exponential complexity. A coding scheme of element information is pointed out, and a reasonable biological algorithm is raised by using limited conditions, whose feasibility is verified by simulation experiments. The innovation of this study is to propose a polynomial time complexity algorithm to solve the QTSP. This advantage will become more obvious as the problem scale increases compared with the algorithm of exponential computational complexity. The proposed DNA algorithm also has the significant advantages of having a large storage capacity and consuming less energy during the operation. With the maturity of DNA manipulation technology, DNA computing, as one of the parallel biological computing methods, has the potential to solve more complex NP-hard problems.",2022,,1450756,16,Travelling salesman problem; Computer science; Algorithm; Mathematical optimization; Mathematics,,"Algorithms; Computer Simulation; Computers, Molecular",,China Institute of Water Resources and Hydropower Research,https://downloads.hindawi.com/journals/cin/2022/1450756.pdf https://doi.org/10.1155/2022/1450756,http://dx.doi.org/10.1155/2022/1450756,36093485,10.1155/2022/1450756,,PMC9451995,0,000-002-326-451-047; 002-670-139-560-260; 003-361-561-802-20X; 004-010-227-381-00X; 005-050-057-406-763; 006-702-441-308-647; 009-375-117-866-317; 010-230-440-702-660; 011-218-865-995-790; 011-606-863-600-948; 015-878-091-500-991; 016-920-046-391-127; 017-198-674-821-707; 018-078-645-178-177; 018-607-154-398-504; 022-366-479-174-824; 023-312-248-006-551; 023-935-554-470-185; 025-820-927-847-305; 026-641-234-862-775; 029-756-263-591-942; 033-545-308-237-408; 036-231-421-625-725; 039-024-483-362-374; 047-601-925-128-030; 060-136-808-149-756; 063-376-058-715-529; 064-515-611-855-337; 065-882-333-382-605; 074-643-082-113-707; 081-160-760-372-44X; 085-632-257-905-411; 088-105-873-145-713; 088-712-944-292-230; 095-854-919-596-993; 096-086-881-542-283; 096-426-957-459-135; 097-467-516-038-64X; 101-443-446-371-047; 104-161-916-837-82X; 104-336-224-199-056; 106-952-067-907-224; 108-192-409-790-227; 109-290-743-531-357; 112-742-581-958-915; 113-596-230-834-754; 116-464-889-641-533; 117-745-663-193-114; 117-994-682-683-650; 125-400-253-426-700; 128-038-391-570-786; 134-528-472-000-709; 140-460-328-207-878; 141-737-278-950-502; 147-439-028-998-434; 150-729-568-415-029,2,true,cc-by,hybrid
088-929-599-454-266,On the Computational Performance of IBM Quantum Devices Applied to Combinatorial Optimisation Problems,2020-11-14,2020,conference proceedings article,2020 7th International Conference on Soft Computing & Machine Intelligence (ISCMI),,IEEE,,H. A. Chieza; M. T. Khumalo; Krupa Prag; Matthew Woolway,"The prevalence of $\mathcal{NP}$-Hard Combinatorial Optimisation Problems (COP) requires a continuous search for powerful heuristic techniques to efficiently solve problems of this nature, due to the exponentially growing CPU times faced by deterministic methods. This paper focuses on two COP, namely the Travelling Salesmen Problem (TSP) and the Quadratic Assignment Problem (QAP). In particular, the computational performance of classical optimisation techniques, Branch and Bound (BNB) and Simulated Annealing (SA), are compared to the Variational Quantum Eigensolver (VQE) algorithm. These algorithms are executed respectively on classical and Noisy Intermediate-Scale Quantum (NISQ) computers, in this case, a host of IBM quantum devices. The experimental results resemble and extend on previously reported results found in the literature. Furthermore, this research critically analyses, compares and comments on the performance of quantum computing techniques to that of classical techniques. The results highlight the current shortcomings of NISQ devices, as classical optimisation techniques significantly outperform the VQE algorithm when run on state of the art IBM Quantum devices.",,,260,264,Algorithm; Simulated annealing; Heuristic (computer science); Qubit; Computer science; Linear programming; Quantum computer; Quantum; Branch and bound; Quadratic assignment problem,,,,,http://xplorestaging.ieee.org/ielx7/9311547/9311548/09311605.pdf?arnumber=9311605 http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=9311605,http://dx.doi.org/10.1109/iscmi51676.2020.9311605,,10.1109/iscmi51676.2020.9311605,3120980308,,0,000-612-241-128-900; 002-177-264-733-811; 003-848-364-944-844; 008-468-343-915-662; 009-185-757-860-872; 010-979-271-512-130; 014-683-811-900-007; 020-508-235-223-00X; 029-803-646-760-538; 051-048-441-755-20X; 051-211-938-647-797; 055-259-526-751-342; 060-140-391-588-252; 070-310-058-713-98X; 073-514-051-601-495; 074-490-222-125-60X; 101-473-559-763-626; 103-017-291-324-940; 107-143-976-963-465; 110-151-588-420-707; 115-976-026-057-676; 119-616-189-641-291; 128-235-557-485-622; 131-851-001-344-40X; 157-015-326-642-931; 165-764-332-730-696,6,false,,
